epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.0509,1.11019,2.87395,1.47363,0.35952,0.48927,0.44541,0.31276,1.04449,2.59061,1.40251,0.000126729,0.000126729,0.000126729
2,116.184,1.08589,1.97179,1.39381,0.52483,0.48901,0.4847,0.3179,1.21001,2.01179,1.5729,0.000250012,0.000250012,0.000250012
3,172.189,1.10826,1.89576,1.41683,0.48803,0.4385,0.42726,0.26285,1.16226,2.12529,1.5754,0.000368213,0.000368213,0.000368213
4,227.053,1.13005,1.80248,1.43238,0.54943,0.45111,0.49947,0.30769,1.23686,1.89372,1.59102,0.000362131,0.000362131,0.000362131
5,282.263,1.11089,1.63971,1.4038,0.49909,0.53188,0.52259,0.34449,1.21155,1.84448,1.61239,0.000354508,0.000354508,0.000354508
6,337.373,1.09177,1.59429,1.41673,0.521,0.50544,0.52363,0.33475,1.22129,1.84586,1.60678,0.000346885,0.000346885,0.000346885
7,392.239,1.05608,1.49952,1.38118,0.56128,0.6197,0.59988,0.39206,1.19215,1.5776,1.56133,0.000339262,0.000339262,0.000339262
8,447.451,1.03596,1.39981,1.36783,0.54444,0.61361,0.61025,0.41619,1.1509,1.50918,1.50947,0.000331639,0.000331639,0.000331639
9,502.457,1.03684,1.36961,1.36131,0.60661,0.6478,0.65543,0.46002,1.09283,1.43781,1.48171,0.000324016,0.000324016,0.000324016
10,557.529,1.01399,1.30505,1.36164,0.64029,0.64798,0.69386,0.48674,1.11644,1.31939,1.51013,0.000316393,0.000316393,0.000316393
11,612.907,0.99754,1.25353,1.32723,0.63046,0.67702,0.69982,0.47569,1.10688,1.27095,1.49205,0.00030877,0.00030877,0.00030877
12,667.733,0.97659,1.1935,1.3281,0.6648,0.64544,0.68446,0.4801,1.12783,1.30695,1.4841,0.000301147,0.000301147,0.000301147
13,722.658,0.97214,1.11365,1.31335,0.59506,0.71663,0.70997,0.49445,1.06843,1.25031,1.44449,0.000293524,0.000293524,0.000293524
14,777.732,0.93689,1.09854,1.29226,0.66212,0.70283,0.73715,0.50799,1.10655,1.12955,1.47722,0.000285901,0.000285901,0.000285901
15,832.888,0.92677,1.05917,1.29551,0.64966,0.66592,0.69018,0.48454,1.07834,1.24361,1.46359,0.000278278,0.000278278,0.000278278
16,887.651,0.90631,1.0036,1.27278,0.71898,0.62627,0.70898,0.49831,1.11968,1.22792,1.50525,0.000270655,0.000270655,0.000270655
17,942.405,0.91873,1.02284,1.27699,0.69846,0.67217,0.72431,0.5148,1.06049,1.2003,1.46021,0.000263032,0.000263032,0.000263032
18,997.686,0.90466,0.96237,1.27437,0.65716,0.69291,0.72629,0.52002,1.07591,1.12192,1.44673,0.000255409,0.000255409,0.000255409
19,1052.98,0.90447,0.95434,1.27263,0.68896,0.70457,0.72569,0.51264,1.07641,1.14282,1.44686,0.000247786,0.000247786,0.000247786
20,1107.79,0.8841,0.88615,1.24372,0.66615,0.69191,0.71089,0.51463,1.05424,1.19812,1.44425,0.000240163,0.000240163,0.000240163
21,1162.65,0.86662,0.8923,1.24796,0.65003,0.67119,0.69847,0.50469,1.06117,1.18523,1.45209,0.00023254,0.00023254,0.00023254
22,1217.47,0.86091,0.84312,1.25158,0.7335,0.71781,0.75852,0.53886,1.05985,1.06025,1.43783,0.000224917,0.000224917,0.000224917
23,1272.52,0.8204,0.81333,1.2188,0.69186,0.68997,0.73524,0.52465,1.03747,1.18859,1.44529,0.000217294,0.000217294,0.000217294
24,1327.46,0.84926,0.81186,1.23925,0.68013,0.72561,0.75024,0.53772,1.05416,1.06703,1.45047,0.000209671,0.000209671,0.000209671
25,1382.28,0.83304,0.79401,1.21465,0.73082,0.69068,0.75095,0.54328,1.05187,1.10676,1.44554,0.000202048,0.000202048,0.000202048
26,1437.31,0.80273,0.76276,1.19585,0.71377,0.72169,0.76734,0.56058,1.02252,1.09321,1.41807,0.000194425,0.000194425,0.000194425
27,1492.35,0.7966,0.76055,1.19081,0.78571,0.69096,0.78031,0.56845,1.02838,1.04206,1.42625,0.000186802,0.000186802,0.000186802
28,1547.95,0.78273,0.71399,1.19339,0.72901,0.70397,0.73712,0.53982,1.03187,1.0978,1.44187,0.000179179,0.000179179,0.000179179
29,1603.12,0.78057,0.69058,1.18482,0.76316,0.70555,0.76326,0.55775,1.03664,1.11437,1.43988,0.000171556,0.000171556,0.000171556
30,1657.93,0.77361,0.67623,1.17678,0.72325,0.75931,0.78486,0.56713,1.02153,1.02872,1.42373,0.000163933,0.000163933,0.000163933
31,1712.86,0.73975,0.6478,1.1528,0.72952,0.72663,0.76505,0.55413,1.05533,1.11853,1.44478,0.00015631,0.00015631,0.00015631
32,1767.71,0.74182,0.64596,1.1501,0.74112,0.73609,0.77758,0.56919,1.03446,1.01018,1.43414,0.000148687,0.000148687,0.000148687
33,1822.67,0.72351,0.61911,1.14135,0.69873,0.72392,0.7556,0.54906,1.04627,1.05242,1.43691,0.000141064,0.000141064,0.000141064
34,1877.4,0.72227,0.61297,1.15105,0.74012,0.71541,0.77414,0.56859,1.02563,1.04178,1.43037,0.000133441,0.000133441,0.000133441
35,1932.23,0.7095,0.58817,1.13102,0.73608,0.70766,0.75674,0.55175,1.05433,1.0771,1.45127,0.000125818,0.000125818,0.000125818
36,1987.03,0.69472,0.5687,1.13027,0.76206,0.70827,0.76501,0.55795,1.05175,1.06203,1.4676,0.000118195,0.000118195,0.000118195
37,2041.92,0.68481,0.57404,1.13103,0.75191,0.74979,0.77952,0.56759,1.03466,1.04109,1.45802,0.000110572,0.000110572,0.000110572
38,2096.73,0.68015,0.54942,1.116,0.7812,0.69826,0.78134,0.56514,1.03959,1.0323,1.46358,0.000102949,0.000102949,0.000102949
39,2151.45,0.65974,0.5336,1.10916,0.76447,0.74186,0.77951,0.57005,1.03083,1.01846,1.46311,9.5326e-05,9.5326e-05,9.5326e-05
40,2206.69,0.64374,0.51375,1.10195,0.75936,0.71466,0.77896,0.56531,1.03892,1.03907,1.45924,8.7703e-05,8.7703e-05,8.7703e-05
41,2262.61,0.55355,0.4095,1.04671,0.72147,0.73272,0.76221,0.56012,1.04091,1.08642,1.47553,8.008e-05,8.008e-05,8.008e-05
42,2317.43,0.529,0.37925,1.02653,0.75473,0.73287,0.78235,0.56382,1.03493,0.99808,1.48433,7.2457e-05,7.2457e-05,7.2457e-05
